code,location,date,temp,rainfall
101,강원,2018-01-01,-4.5,
101,강원,2018-01-02,-3.5,
101,강원,2018-01-03,-5.6,
101,강원,2018-01-04,-6.1,
101,강원,2018-01-05,-4.2,
101,강원,2018-01-06,-5.7,
101,강원,2018-01-07,-4,
101,강원,2018-01-08,.6,.6
101,강원,2018-01-09,-4.1,0
101,강원,2018-01-10,-8.5,
101,강원,2018-01-11,-11.3,
101,강원,2018-01-12,-12.2,
101,강원,2018-01-13,-8.1,
101,강원,2018-01-14,-3.1,
101,강원,2018-01-15,3.6,.1
101,강원,2018-01-16,.7,
101,강원,2018-01-17,3.6,
101,강원,2018-01-18,1.2,
101,강원,2018-01-19,-.9,
101,강원,2018-01-20,-.9,
101,강원,2018-01-21,-2.2,
101,강원,2018-01-22,-.9,4.1
101,강원,2018-01-23,-10.5,
101,강원,2018-01-24,-14.3,
101,강원,2018-01-25,-14.8,
101,강원,2018-01-26,-15.7,
101,강원,2018-01-27,-12.5,
101,강원,2018-01-28,-6.2,
101,강원,2018-01-29,-10.1,
101,강원,2018-01-30,-7.8,.8
101,강원,2018-01-31,-3.5,.3
101,강원,2018-02-01,-6.4,
101,강원,2018-02-02,-5.5,
101,강원,2018-02-03,-6.7,
101,강원,2018-02-04,-10.8,
101,강원,2018-02-05,-10.9,
101,강원,2018-02-06,-11.6,
101,강원,2018-02-07,-10.6,
101,강원,2018-02-08,-7.6,
101,강원,2018-02-09,-4.3,
101,강원,2018-02-10,-1.1,
101,강원,2018-02-11,-5.6,0
101,강원,2018-02-12,-5.7,
101,강원,2018-02-13,-2.3,
101,강원,2018-02-14,3.6,
101,강원,2018-02-15,-.5,
101,강원,2018-02-16,-1.7,
101,강원,2018-02-17,-2.1,
101,강원,2018-02-18,-.9,
101,강원,2018-02-19,-.5,
101,강원,2018-02-20,-.6,
101,강원,2018-02-21,-2.5,
101,강원,2018-02-22,-.4,0
101,강원,2018-02-23,1.9,5.2
101,강원,2018-02-24,2.4,
101,강원,2018-02-25,1.5,
101,강원,2018-02-26,1.3,
101,강원,2018-02-27,.6,
101,강원,2018-02-28,3,31.3
101,강원,2018-03-01,1.1,.7
101,강원,2018-03-02,-1.5,
101,강원,2018-03-03,6.5,
101,강원,2018-03-04,8.5,10.2
101,강원,2018-03-05,2.9,4.3
101,강원,2018-03-06,2.4,
101,강원,2018-03-07,4.6,.7
101,강원,2018-03-08,4.9,6.4
101,강원,2018-03-09,5,
101,강원,2018-03-10,4.2,
101,강원,2018-03-11,5.4,
101,강원,2018-03-12,5.9,
101,강원,2018-03-13,10.4,
101,강원,2018-03-14,14.2,
101,강원,2018-03-15,11.8,5.4
101,강원,2018-03-16,3.4,
101,강원,2018-03-17,4.6,
101,강원,2018-03-18,6.8,1.7
101,강원,2018-03-19,6.8,3.4
101,강원,2018-03-20,2.9,
101,강원,2018-03-21,2.5,
101,강원,2018-03-22,6.1,
101,강원,2018-03-23,6.3,
101,강원,2018-03-24,8.7,
101,강원,2018-03-25,9.7,
101,강원,2018-03-26,10.9,
101,강원,2018-03-27,12.7,
101,강원,2018-03-28,14.4,
101,강원,2018-03-29,15.1,
101,강원,2018-03-30,14.5,
101,강원,2018-03-31,13.9,
101,강원,2018-04-01,15,
101,강원,2018-04-02,18.6,
101,강원,2018-04-03,18.3,
101,강원,2018-04-04,9.8,22.2
101,강원,2018-04-05,6.3,11.2
101,강원,2018-04-06,6.6,8.7
101,강원,2018-04-07,4.6,0
101,강원,2018-04-08,2.4,6.1
101,강원,2018-04-09,6.1,
101,강원,2018-04-10,13.2,9
101,강원,2018-04-11,13.8,
101,강원,2018-04-12,12.5,
101,강원,2018-04-13,12.8,
101,강원,2018-04-14,9.2,13.6
101,강원,2018-04-15,9.9,
101,강원,2018-04-16,10.7,
101,강원,2018-04-17,12.4,
101,강원,2018-04-18,13.2,
101,강원,2018-04-19,14.7,
101,강원,2018-04-20,17.9,
101,강원,2018-04-21,18.4,
101,강원,2018-04-22,13.9,6.9
101,강원,2018-04-23,9,60.4
101,강원,2018-04-24,10.4,1.4
101,강원,2018-04-25,12.4,
101,강원,2018-04-26,15.4,
101,강원,2018-04-27,15.7,
101,강원,2018-04-28,16.1,
101,강원,2018-04-29,15.9,
101,강원,2018-04-30,18.2,
101,강원,2018-05-01,19.7,
101,강원,2018-05-02,13.4,20.2
101,강원,2018-05-03,9.2,0
101,강원,2018-05-04,13.7,
101,강원,2018-05-05,18.7,
101,강원,2018-05-06,16.1,17.6
101,강원,2018-05-07,17.6,
101,강원,2018-05-08,15,
101,강원,2018-05-09,13.6,
101,강원,2018-05-10,15.8,
101,강원,2018-05-11,16.4,
101,강원,2018-05-12,13.3,25.7
101,강원,2018-05-13,17.6,1
101,강원,2018-05-14,18.7,
101,강원,2018-05-15,22.2,
101,강원,2018-05-16,21.3,15.7
101,강원,2018-05-17,20.2,90
101,강원,2018-05-18,13.7,17.3
101,강원,2018-05-19,15.5,
101,강원,2018-05-20,15.4,
101,강원,2018-05-21,17,
101,강원,2018-05-22,17.7,6.7
101,강원,2018-05-23,18.9,7.3
101,강원,2018-05-24,18.6,
101,강원,2018-05-25,19.5,
101,강원,2018-05-26,21.3,
101,강원,2018-05-27,20.8,
101,강원,2018-05-28,21.5,
101,강원,2018-05-29,22.9,.3
101,강원,2018-05-30,21.7,.1
101,강원,2018-05-31,21.1,
101,강원,2018-06-01,23.5,
101,강원,2018-06-02,24,
101,강원,2018-06-03,22.4,
101,강원,2018-06-04,22.1,
101,강원,2018-06-05,23.7,
101,강원,2018-06-06,24,
101,강원,2018-06-07,24.1,
101,강원,2018-06-08,22.9,
101,강원,2018-06-09,22.1,0
101,강원,2018-06-10,20.2,0
101,강원,2018-06-11,19.9,
101,강원,2018-06-12,21.5,0
101,강원,2018-06-13,21.7,
101,강원,2018-06-14,20.1,1
101,강원,2018-06-15,19.6,0
101,강원,2018-06-16,21.2,
101,강원,2018-06-17,22.3,
101,강원,2018-06-18,24.4,
101,강원,2018-06-19,23,
101,강원,2018-06-20,24.4,
101,강원,2018-06-21,23.8,
101,강원,2018-06-22,25.1,
101,강원,2018-06-23,24.7,
101,강원,2018-06-24,26.4,
101,강원,2018-06-25,26.5,
101,강원,2018-06-26,22.4,76.4
101,강원,2018-06-27,23.7,.4
101,강원,2018-06-28,23.6,26
101,강원,2018-06-29,24.5,.3
101,강원,2018-06-30,24.8,0
101,강원,2018-07-01,22.1,56.6
101,강원,2018-07-02,21.8,90
