region,gender,coef,p_val,year,quarter,promo_ratio
Gangwon,Male,0.2506450856013694,0.14039571647695398,2021,1,0.6436781609195402
Gangwon,Male,0.20493477026833898,0.2952979366087728,2021,2,0.4444444444444444
Gangwon,Male,0.13284262774013195,0.14841523340811424,2021,3,0.5222222222222223
Gangwon,Male,0.03490036711877818,0.48212582372490254,2021,4,0.42391304347826086
Gangwon,Male,0.6071975610280967,0.33967243946283854,2022,1,0.8522727272727273
Gangwon,Male,-0.021891892887608764,0.6923956078011915,2022,2,0.42857142857142855
Gangwon,Male,0.1911885783093551,0.2252853130684763,2022,3,0.2222222222222222
Gangwon,Male,0.13964799992860022,0.25943826695066474,2022,4,0.05434782608695652
Gangwon,Male,0.07604790617786213,0.06716787255462628,2023,1,0.5862068965517241
Gangwon,Male,0.33950152308313314,0.2184940888631233,2023,2,0.6703296703296703
Gangwon,Female,0.20554142811771506,0.8611970137594891,2021,1,0.6436781609195402
Gangwon,Female,0.12080498076795619,0.5445692915848115,2021,2,0.4444444444444444
Gangwon,Female,0.0959054332388056,0.9155182413828651,2021,3,0.5222222222222223
Gangwon,Female,0.2937376345424235,0.14105158804199597,2021,4,0.42391304347826086
Gangwon,Female,0.1733394607976082,0.0261738899778978,2022,1,0.8522727272727273
Gangwon,Female,0.3338013439576563,0.6664788954107879,2022,2,0.42857142857142855
Gangwon,Female,-0.11996744835942898,2.299686999950629e-06,2022,3,0.2222222222222222
Gangwon,Female,0.0948776040164203,0.8374200209869851,2022,4,0.05434782608695652
Gangwon,Female,0.2753418887618611,0.011852476294607662,2023,1,0.5862068965517241
Gangwon,Female,0.0861243127926284,0.8648246939163886,2023,2,0.6703296703296703
Gyeongnam,Male,0.286138296994855,0.4951349136266099,2021,1,0.6436781609195402
Gyeongnam,Male,0.04359274214792784,0.07450193698990831,2021,2,0.5333333333333333
Gyeongnam,Male,0.07088074054215322,0.003606009099013936,2021,3,0.4157303370786517
Gyeongnam,Male,0.30240511113040175,0.7753561788858245,2021,4,0.38202247191011235
Gyeongnam,Male,0.0465718944445184,0.5017487247038435,2022,1,0.8045977011494253
Gyeongnam,Male,0.008201037558684034,0.6853202633428372,2022,2,0.43333333333333335
Gyeongnam,Male,0.3305061726241105,0.6075028090284638,2022,3,0.1111111111111111
Gyeongnam,Male,6.66572292982229e-17,0.1530686392818736,2022,4,0.0
Gyeongnam,Male,0.06722121894620299,0.40222259168691843,2023,1,0.21839080459770116
Gyeongnam,Male,0.03974035770111856,0.6071484560345595,2023,2,0.011111111111111112
Gyeongnam,Female,0.14168081179224934,0.001613266624163492,2021,1,0.6436781609195402
Gyeongnam,Female,-0.06772490685135162,0.23927179844276109,2021,2,0.5333333333333333
Gyeongnam,Female,0.11279738985796949,0.03461982987050035,2021,3,0.4157303370786517
Gyeongnam,Female,0.15106784104752266,0.0035497562349948216,2021,4,0.38202247191011235
Gyeongnam,Female,0.1318189623298016,0.7290501649526666,2022,1,0.8045977011494253
Gyeongnam,Female,-0.003568557821111471,0.7724895810059071,2022,2,0.43333333333333335
Gyeongnam,Female,0.023461720580134158,0.09223650223767145,2022,3,0.1111111111111111
Gyeongnam,Female,7.669597825773231e-17,0.4014282003929033,2022,4,0.0
Gyeongnam,Female,-0.1614050409902429,0.010775942061503061,2023,1,0.21839080459770116
Gyeongnam,Female,-0.12256994016980617,0.6236566918094729,2023,2,0.011111111111111112
Gwangju/Jeonnam,Male,-0.019659625975711387,0.025834794192619862,2021,1,0.7241379310344828
Gwangju/Jeonnam,Male,0.09772161299276395,0.11202251149056223,2021,2,0.4
Gwangju/Jeonnam,Male,0.007854177848820507,0.18758256761226044,2021,3,0.8651685393258427
Gwangju/Jeonnam,Male,0.17206881685619888,0.010514324533850322,2021,4,0.6
Gwangju/Jeonnam,Male,0.023767948884534748,0.6477489487922322,2022,1,0.8390804597701149
Gwangju/Jeonnam,Male,0.23749976690646787,0.06462611298782676,2022,2,0.4777777777777778
Gwangju/Jeonnam,Male,0.06414192507180311,0.09251182309704019,2022,3,0.1111111111111111
Gwangju/Jeonnam,Male,0.012115564187697908,0.5686001617860414,2022,4,0.13333333333333333
Gwangju/Jeonnam,Male,0.17336246241626807,0.29186728554508434,2023,1,0.5465116279069767
Gwangju/Jeonnam,Male,0.19351959016276357,0.9579477942955019,2023,2,0.16666666666666666
Gwangju/Jeonnam,Female,0.08874343268283871,0.9991141411615047,2021,1,0.7241379310344828
Gwangju/Jeonnam,Female,0.22942485571309612,0.005344725482795106,2021,2,0.4
Gwangju/Jeonnam,Female,0.12758963277465749,0.7835679067785939,2021,3,0.8651685393258427
Gwangju/Jeonnam,Female,0.022758526851536155,0.9040848244352312,2021,4,0.6
Gwangju/Jeonnam,Female,0.11347141619335355,0.9352169841832059,2022,1,0.8390804597701149
Gwangju/Jeonnam,Female,0.14426934676890166,0.4599100909316315,2022,2,0.4777777777777778
Gwangju/Jeonnam,Female,0.2029780304400354,0.0002545433966554501,2022,3,0.1111111111111111
Gwangju/Jeonnam,Female,0.0949326013300073,6.248443532418093e-05,2022,4,0.13333333333333333
Gwangju/Jeonnam,Female,0.20286799742861916,0.49676019631189405,2023,1,0.5465116279069767
Gwangju/Jeonnam,Female,0.2143980806230046,0.44746401748369635,2023,2,0.16666666666666666
Daegu/Gyeongbuk,Male,0.2949242508022,0.8425155168804339,2021,1,0.6896551724137931
Daegu/Gyeongbuk,Male,0.28102148128261795,0.9314684585256983,2021,2,0.3888888888888889
Daegu/Gyeongbuk,Male,0.047947377181780194,0.0013947558319515798,2021,3,0.5111111111111111
Daegu/Gyeongbuk,Male,0.20972001443186614,0.9758295659883187,2021,4,0.45652173913043476
Daegu/Gyeongbuk,Male,0.3871151325729347,0.16217649303514334,2022,1,0.8390804597701149
Daegu/Gyeongbuk,Male,0.03492711098343967,0.8859618424707196,2022,2,0.5494505494505495
Daegu/Gyeongbuk,Male,0.16473883505339107,0.8015222110714073,2022,3,0.32222222222222224
Daegu/Gyeongbuk,Male,0.18547477016568872,0.00014038042150885558,2022,4,0.3695652173913043
Daegu/Gyeongbuk,Male,0.19502128632607432,0.25700069508776124,2023,1,0.7241379310344828
Daegu/Gyeongbuk,Male,0.05312463834620021,0.721175931034841,2023,2,0.6
Daegu/Gyeongbuk,Female,0.3143564409207128,0.06072006750077068,2021,1,0.6896551724137931
Daegu/Gyeongbuk,Female,0.2093785300811544,0.3154859375705295,2021,2,0.3888888888888889
Daegu/Gyeongbuk,Female,-0.021511597043042514,0.9401992214632491,2021,3,0.5111111111111111
Daegu/Gyeongbuk,Female,0.24534254910489378,0.8472484535722112,2021,4,0.45652173913043476
Daegu/Gyeongbuk,Female,0.24060134827983648,0.053115839010188244,2022,1,0.8390804597701149
Daegu/Gyeongbuk,Female,0.002396913319940208,0.9093333420645009,2022,2,0.5494505494505495
Daegu/Gyeongbuk,Female,0.07925229408795308,0.0002962737862859489,2022,3,0.32222222222222224
Daegu/Gyeongbuk,Female,0.24077664625693915,0.42302242563072734,2022,4,0.3695652173913043
Daegu/Gyeongbuk,Female,0.35811640427230135,0.09205534979309392,2023,1,0.7241379310344828
Daegu/Gyeongbuk,Female,0.010868318721681381,0.2983092945324711,2023,2,0.6
Daejeon/Sejong/Chungnam,Male,0.23825300267596414,0.0017323674684033203,2021,1,0.6931818181818182
Daejeon/Sejong/Chungnam,Male,0.1317841929665141,0.08224325928267484,2021,2,0.5934065934065934
Daejeon/Sejong/Chungnam,Male,0.07486164188670431,0.46154073117527783,2021,3,0.4111111111111111
Daejeon/Sejong/Chungnam,Male,0.33897645107965046,0.27391295708324287,2021,4,0.37777777777777777
Daejeon/Sejong/Chungnam,Male,0.19896138827910592,0.0025026486446316993,2022,1,0.7586206896551724
Daejeon/Sejong/Chungnam,Male,0.2099119363427299,0.47732660657176107,2022,2,0.42857142857142855
Daejeon/Sejong/Chungnam,Male,0.15316219601509615,0.8942088534886595,2022,3,0.11235955056179775
Daejeon/Sejong/Chungnam,Male,-1.9953496850102917e-16,0.3700897502108983,2022,4,0.0
Daejeon/Sejong/Chungnam,Male,0.17897944722454656,0.02360403993671649,2023,1,0.5862068965517241
Daejeon/Sejong/Chungnam,Male,0.07006690159977737,0.9555127706642761,2023,2,0.4065934065934066
Daejeon/Sejong/Chungnam,Female,0.3987049897857656,0.3400476363342322,2021,1,0.6818181818181818
Daejeon/Sejong/Chungnam,Female,0.1648653134103513,0.08915572841005187,2021,2,0.5934065934065934
Daejeon/Sejong/Chungnam,Female,-0.046747502999991586,0.33001731191988903,2021,3,0.4111111111111111
Daejeon/Sejong/Chungnam,Female,0.27280027079835634,0.13090228074605265,2021,4,0.37777777777777777
Daejeon/Sejong/Chungnam,Female,0.180685300134794,0.09145577067499258,2022,1,0.7586206896551724
Daejeon/Sejong/Chungnam,Female,-0.08057676384398968,0.14337834160233376,2022,2,0.42857142857142855
Daejeon/Sejong/Chungnam,Female,0.07531856574576716,0.023651871810608384,2022,3,0.11235955056179775
Daejeon/Sejong/Chungnam,Female,-3.2491823464356733e-16,0.040162252092533546,2022,4,0.0
Daejeon/Sejong/Chungnam,Female,0.22094115896740069,0.002572879735564155,2023,1,0.5862068965517241
Daejeon/Sejong/Chungnam,Female,-0.02069989651533969,0.2269818065917571,2023,2,0.4065934065934066
Busan,Male,0.47800151801888796,0.07515108640024616,2021,1,0.7471264367816092
Busan,Male,0.15283068087485324,0.9362821322075839,2021,2,0.42857142857142855
Busan,Male,0.008349474027993353,0.03580892872819272,2021,3,0.5
Busan,Male,0.2672571664070888,0.5989867520509493,2021,4,0.42391304347826086
Busan,Male,0.21317180547586656,0.23833242418457026,2022,1,0.8045977011494253
Busan,Male,-0.03478150352117476,0.5029154703894803,2022,2,0.42857142857142855
Busan,Male,0.059726196660990716,0.11875223218735172,2022,3,0.34444444444444444
Busan,Male,0.30298681122370147,0.1712349316229453,2022,4,0.20652173913043478
Busan,Male,0.2041806918013342,0.44899969153060537,2023,1,0.6666666666666666
Busan,Male,0.2493051628225127,0.538531518313619,2023,2,0.5888888888888889
Busan,Female,0.25188909215918565,0.00010654121525618254,2021,1,0.7471264367816092
Busan,Female,0.05535162564656085,0.3470458688807576,2021,2,0.42857142857142855
Busan,Female,0.031792488667966176,0.27811363107101916,2021,3,0.5
Busan,Female,0.13436962458951016,0.9345816212261564,2021,4,0.42391304347826086
Busan,Female,0.269358050959981,0.34064723953888054,2022,1,0.8045977011494253
Busan,Female,0.04091185468821524,0.38701450053234066,2022,2,0.42857142857142855
Busan,Female,0.08350419452013395,0.00173932306302253,2022,3,0.34444444444444444
Busan,Female,0.3007900773142807,0.8826256087070998,2022,4,0.20652173913043478
Busan,Female,0.20933181665306025,0.20073543086435525,2023,1,0.6666666666666666
Busan,Female,0.03451579084355704,0.04308837783820967,2023,2,0.5888888888888889
Ulsan,Male,0.08181813860119722,0.8627563682538146,2021,1,0.8620689655172413
Ulsan,Male,0.10650429249022592,0.5099469091747386,2021,2,0.4725274725274725
Ulsan,Male,-0.023121171005957356,0.4240555742458547,2021,3,0.8333333333333334
Ulsan,Male,0.11639836612549327,0.44858995199861906,2021,4,0.9
Ulsan,Male,6.999999999999996,0.16346746743073057,2022,1,1.0
Ulsan,Male,-0.08279165819344389,0.08028873160301679,2022,2,0.43956043956043955
Ulsan,Male,0.019859402251192856,0.12319400785829586,2022,3,0.17777777777777778
Ulsan,Male,0.16726505009661097,0.44726069565816695,2022,4,0.17582417582417584
Ulsan,Male,0.1630067368025263,0.627137351175641,2023,1,0.5402298850574713
Ulsan,Male,-0.07594597608778494,0.20321717490440386,2023,2,0.6777777777777778
Ulsan,Female,0.6114054258603492,0.5949753424686217,2021,1,0.8620689655172413
Ulsan,Female,-0.04168978067704092,0.6829334045505259,2021,2,0.4725274725274725
Ulsan,Female,-0.021872854147827574,0.7614960317366641,2021,3,0.8333333333333334
Ulsan,Female,0.26364729809446996,0.37156006680779485,2021,4,0.9
Ulsan,Female,6.99999999999999,0.1151719482595397,2022,1,1.0
Ulsan,Female,0.12623838196264295,0.9157625196541976,2022,2,0.43956043956043955
Ulsan,Female,0.008850525466277506,0.09529538852459962,2022,3,0.17777777777777778
Ulsan,Female,-0.04715330869888824,0.5406631662556779,2022,4,0.17582417582417584
Ulsan,Female,0.10082308607712422,0.6535257546073909,2023,1,0.5402298850574713
Ulsan,Female,0.2667463650485338,0.350538023599797,2023,2,0.6777777777777778
Jeonbuk,Male,0.11163626245443509,0.3959895398424337,2021,1,0.8045977011494253
Jeonbuk,Male,0.3064088696671234,0.29491153595383773,2021,2,0.4777777777777778
Jeonbuk,Male,0.047245525333444664,0.2642298794614661,2021,3,0.7333333333333333
Jeonbuk,Male,0.13988817087844968,0.03435445568841333,2021,4,0.6195652173913043
Jeonbuk,Male,-0.034426916922035346,0.4247310131609734,2022,1,0.8620689655172413
Jeonbuk,Male,0.029973256267527445,0.987760851077399,2022,2,0.5274725274725275
Jeonbuk,Male,0.031743069706827,0.44951645613463564,2022,3,0.4666666666666667
Jeonbuk,Male,0.10911567643805885,0.35842013176280874,2022,4,0.6
