region,gender,count,year,age_band
서울중앙,남,31241,2005,10대
서울중앙,여,16265,2005,10대
서울서부,남,28189,2005,10대
서울서부,여,8755,2005,10대
서울남부,남,29271,2005,10대
서울남부,여,12243,2005,10대
서울동부,남,45885,2005,10대
서울동부,여,18640,2005,10대
부산,남,39611,2005,10대
부산,여,23726,2005,10대
대구·경북,남,45536,2005,10대
대구·경북,여,22931,2005,10대
인천,남,32934,2005,10대
인천,여,22478,2005,10대
울산,남,17197,2005,10대
울산,여,9340,2005,10대
경기,남,28680,2005,10대
경기,여,9173,2005,10대
강원,남,14495,2005,10대
강원,여,3245,2005,10대
충북,남,18615,2005,10대
충북,여,9294,2005,10대
대전·세종·충남,남,51247,2005,10대
대전·세종·충남,여,10359,2005,10대
전북,남,32553,2005,10대
전북,여,15191,2005,10대
광주·전남,남,37702,2005,10대
광주·전남,여,23483,2005,10대
경남,남,25602,2005,10대
경남,여,6215,2005,10대
제주,남,5182,2005,10대
제주,여,3319,2005,10대
서울중앙,남,110065,2005,20대
서울중앙,여,19877,2005,20대
서울서부,남,61835,2005,20대
서울서부,여,8547,2005,20대
서울남부,남,89573,2005,20대
서울남부,여,14379,2005,20대
서울동부,남,88682,2005,20대
서울동부,여,12796,2005,20대
부산,남,87189,2005,20대
부산,여,22468,2005,20대
대구·경북,남,69397,2005,20대
대구·경북,여,20176,2005,20대
인천,남,40707,2005,20대
인천,여,12393,2005,20대
울산,남,27705,2005,20대
울산,여,5994,2005,20대
경기,남,54037,2005,20대
경기,여,9181,2005,20대
강원,남,54040,2005,20대
강원,여,3293,2005,20대
충북,남,33133,2005,20대
충북,여,6260,2005,20대
대전·세종·충남,남,71747,2005,20대
대전·세종·충남,여,8582,2005,20대
전북,남,47485,2005,20대
전북,여,8740,2005,20대
광주·전남,남,64732,2005,20대
광주·전남,여,14727,2005,20대
경남,남,44550,2005,20대
경남,여,4782,2005,20대
제주,남,13817,2005,20대
제주,여,2658,2005,20대
서울중앙,남,19642,2005,30대
서울중앙,여,3105,2005,30대
서울서부,남,16888,2005,30대
서울서부,여,1630,2005,30대
서울남부,남,21314,2005,30대
서울남부,여,2742,2005,30대
서울동부,남,15810,2005,30대
서울동부,여,3273,2005,30대
부산,남,28024,2005,30대
부산,여,2504,2005,30대
대구·경북,남,22100,2005,30대
대구·경북,여,2552,2005,30대
인천,남,11368,2005,30대
인천,여,2442,2005,30대
울산,남,11452,2005,30대
울산,여,1005,2005,30대
경기,남,26046,2005,30대
경기,여,1747,2005,30대
강원,남,4314,2005,30대
