gender,type,region,year,count
남,RH(+)O형,대한적십자사,2005,486553
남,RH(+)O형,서울중앙,2005,45967
남,RH(+)O형,서울서부,2005,31097
남,RH(+)O형,서울남부,2005,41058
남,RH(+)O형,서울동부,2005,43138
남,RH(+)O형,부산,2005,44622
남,RH(+)O형,대구·경북,2005,40685
남,RH(+)O형,인천,2005,24781
남,RH(+)O형,울산,2005,17494
남,RH(+)O형,경기,2005,32159
남,RH(+)O형,강원,2005,21108
남,RH(+)O형,충북,2005,16586
남,RH(+)O형,대전·세종·충남,2005,38249
남,RH(+)O형,전북,2005,24743
남,RH(+)O형,광주·전남,2005,33978
남,RH(+)O형,경남,2005,24081
남,RH(+)O형,제주,2005,6807
남,RH(+)O형,대한적십자사 외,2005,11673
남,RH(+)A형,대한적십자사,2005,612942
남,RH(+)A형,서울중앙,2005,57467
남,RH(+)A형,서울서부,2005,38925
남,RH(+)A형,서울남부,2005,50556
남,RH(+)A형,서울동부,2005,53955
남,RH(+)A형,부산,2005,56306
남,RH(+)A형,대구·경북,2005,49204
남,RH(+)A형,인천,2005,30786
남,RH(+)A형,울산,2005,20934
남,RH(+)A형,경기,2005,39931
남,RH(+)A형,강원,2005,25202
남,RH(+)A형,충북,2005,19987
남,RH(+)A형,대전·세종·충남,2005,48046
남,RH(+)A형,전북,2005,34780
남,RH(+)A형,광주·전남,2005,48808
남,RH(+)A형,경남,2005,30371
남,RH(+)A형,제주,2005,7684
남,RH(+)A형,대한적십자사 외,2005,13769
남,RH(+)B형,대한적십자사,2005,479867
남,RH(+)B형,서울중앙,2005,46008
남,RH(+)B형,서울서부,2005,30379
남,RH(+)B형,서울남부,2005,40951
남,RH(+)B형,서울동부,2005,43094
남,RH(+)B형,부산,2005,43526
남,RH(+)B형,대구·경북,2005,39877
남,RH(+)B형,인천,2005,24286
남,RH(+)B형,울산,2005,15933
남,RH(+)B형,경기,2005,31533
남,RH(+)B형,강원,2005,20350
남,RH(+)B형,충북,2005,17013
남,RH(+)B형,대전·세종·충남,2005,37761
남,RH(+)B형,전북,2005,24514
남,RH(+)B형,광주·전남,2005,33399
남,RH(+)B형,경남,2005,23675
남,RH(+)B형,제주,2005,7568
남,RH(+)B형,대한적십자사 외,2005,11346
남,RH(+)AB형,대한적십자사,2005,203734
남,RH(+)AB형,서울중앙,2005,19773
남,RH(+)AB형,서울서부,2005,12997
남,RH(+)AB형,서울남부,2005,16824
남,RH(+)AB형,서울동부,2005,18001
남,RH(+)AB형,부산,2005,18137
남,RH(+)AB형,대구·경북,2005,16365
남,RH(+)AB형,인천,2005,10368
남,RH(+)AB형,울산,2005,7203
남,RH(+)AB형,경기,2005,13328
남,RH(+)AB형,강원,2005,8585
남,RH(+)AB형,충북,2005,6952
남,RH(+)AB형,대전·세종·충남,2005,16112
남,RH(+)AB형,전북,2005,11111
남,RH(+)AB형,광주·전남,2005,15385
남,RH(+)AB형,경남,2005,9785
남,RH(+)AB형,제주,2005,2808
남,RH(+)AB형,대한적십자사 외,2005,5221
남,RH(-)O형,대한적십자사,2005,1617
남,RH(-)O형,서울중앙,2005,138
남,RH(-)O형,서울서부,2005,102
남,RH(-)O형,서울남부,2005,157
남,RH(-)O형,서울동부,2005,127
남,RH(-)O형,부산,2005,154
남,RH(-)O형,대구·경북,2005,140
남,RH(-)O형,인천,2005,77
남,RH(-)O형,울산,2005,71
남,RH(-)O형,경기,2005,129
남,RH(-)O형,강원,2005,57
남,RH(-)O형,충북,2005,60
남,RH(-)O형,대전·세종·충남,2005,129
남,RH(-)O형,전북,2005,81
남,RH(-)O형,광주·전남,2005,109
남,RH(-)O형,경남,2005,66
남,RH(-)O형,제주,2005,20
남,RH(-)O형,대한적십자사 외,2005,27
남,RH(-)A형,대한적십자사,2005,2239
남,RH(-)A형,서울중앙,2005,228
남,RH(-)A형,서울서부,2005,166
남,RH(-)A형,서울남부,2005,177
남,RH(-)A형,서울동부,2005,170
남,RH(-)A형,부산,2005,173
남,RH(-)A형,대구·경북,2005,206
남,RH(-)A형,인천,2005,119
남,RH(-)A형,울산,2005,68
남,RH(-)A형,경기,2005,176
남,RH(-)A형,강원,2005,102
남,RH(-)A형,충북,2005,77
남,RH(-)A형,대전·세종·충남,2005,151
남,RH(-)A형,전북,2005,131
남,RH(-)A형,광주·전남,2005,160
남,RH(-)A형,경남,2005,94
남,RH(-)A형,제주,2005,41
남,RH(-)A형,대한적십자사 외,2005,16
남,RH(-)B형,대한적십자사,2005,1778
남,RH(-)B형,서울중앙,2005,174
남,RH(-)B형,서울서부,2005,115
남,RH(-)B형,서울남부,2005,175
남,RH(-)B형,서울동부,2005,139
남,RH(-)B형,부산,2005,136
