gender,job,region,year,count
남,고등학생,대한적십자사,2005,278216
남,고등학생,서울중앙,2005,18858
남,고등학생,서울서부,2005,15416
남,고등학생,서울남부,2005,16702
남,고등학생,서울동부,2005,21904
남,고등학생,부산,2005,25956
남,고등학생,대구·경북,2005,26936
남,고등학생,인천,2005,26110
남,고등학생,울산,2005,13769
남,고등학생,경기,2005,19546
남,고등학생,강원,2005,4552
남,고등학생,충북,2005,11135
남,고등학생,대전·세종·충남,2005,19062
남,고등학생,전북,2005,18356
남,고등학생,광주·전남,2005,25265
남,고등학생,경남,2005,10639
남,고등학생,제주,2005,4010
남,고등학생,대한적십자사 외,2005,1836
남,대학생,대한적십자사,2005,372246
남,대학생,서울중앙,2005,29348
남,대학생,서울서부,2005,22921
남,대학생,서울남부,2005,24652
남,대학생,서울동부,2005,24521
남,대학생,부산,2005,49601
남,대학생,대구·경북,2005,34220
남,대학생,인천,2005,15402
남,대학생,울산,2005,13659
남,대학생,경기,2005,25782
남,대학생,강원,2005,6892
남,대학생,충북,2005,18955
남,대학생,대전·세종·충남,2005,23572
남,대학생,전북,2005,27044
남,대학생,광주·전남,2005,33118
남,대학생,경남,2005,17327
남,대학생,제주,2005,5232
남,대학생,대한적십자사 외,2005,13150
남,군인,대한적십자사,2005,587575
남,군인,서울중앙,2005,76148
남,군인,서울서부,2005,32055
남,군인,서울남부,2005,56429
남,군인,서울동부,2005,74159
남,군인,부산,2005,15910
남,군인,대구·경북,2005,41109
남,군인,인천,2005,21956
남,군인,울산,2005,3770
남,군인,경기,2005,20339
남,군인,강원,2005,56606
남,군인,충북,2005,16369
남,군인,대전·세종·충남,2005,73460
남,군인,전북,2005,27475
남,군인,광주·전남,2005,29298
남,군인,경남,2005,37631
남,군인,제주,2005,4861
남,군인,대한적십자사 외,2005,3792
남,회사원,대한적십자사,2005,295551
남,회사원,서울중앙,2005,24161
남,회사원,서울서부,2005,20723
남,회사원,서울남부,2005,31261
남,회사원,서울동부,2005,17295
남,회사원,부산,2005,36752
남,회사원,대구·경북,2005,23853
남,회사원,인천,2005,14456
남,회사원,울산,2005,21750
남,회사원,경기,2005,32904
