gender,group,location,region,year,count
남,단체,고등학교,대한적십자사,2005,215765
남,단체,고등학교,서울중앙,2005,14522
남,단체,고등학교,서울서부,2005,10700
남,단체,고등학교,서울남부,2005,10484
남,단체,고등학교,서울동부,2005,15448
남,단체,고등학교,부산,2005,16943
남,단체,고등학교,대구·경북,2005,23884
남,단체,고등학교,인천,2005,20834
남,단체,고등학교,울산,2005,10232
남,단체,고등학교,경기,2005,14392
남,단체,고등학교,강원,2005,4076
남,단체,고등학교,충북,2005,9325
남,단체,고등학교,대전·세종·충남,2005,17240
남,단체,고등학교,전북,2005,15475
남,단체,고등학교,광주·전남,2005,20559
남,단체,고등학교,경남,2005,8246
남,단체,고등학교,제주,2005,3405
남,단체,고등학교,대한적십자사 외,2005,0
남,단체,대학교,대한적십자사,2005,76161
남,단체,대학교,서울중앙,2005,5349
남,단체,대학교,서울서부,2005,1268
남,단체,대학교,서울남부,2005,3429
남,단체,대학교,서울동부,2005,6598
남,단체,대학교,부산,2005,4147
남,단체,대학교,대구·경북,2005,8953
남,단체,대학교,인천,2005,736
남,단체,대학교,울산,2005,951
남,단체,대학교,경기,2005,9565
남,단체,대학교,강원,2005,1163
남,단체,대학교,충북,2005,6788
남,단체,대학교,대전·세종·충남,2005,7048
남,단체,대학교,전북,2005,6670
남,단체,대학교,광주·전남,2005,7064
남,단체,대학교,경남,2005,5328
남,단체,대학교,제주,2005,1104
남,단체,대학교,대한적십자사 외,2005,0
남,단체,군부대,대한적십자사,2005,558391
남,단체,군부대,서울중앙,2005,68038
남,단체,군부대,서울서부,2005,27199
남,단체,군부대,서울남부,2005,50737
남,단체,군부대,서울동부,2005,67664
남,단체,군부대,부산,2005,33546
남,단체,군부대,대구·경북,2005,35435
남,단체,군부대,인천,2005,19003
남,단체,군부대,울산,2005,8786
남,단체,군부대,경기,2005,16439
남,단체,군부대,강원,2005,54669
남,단체,군부대,충북,2005,13528
남,단체,군부대,대전·세종·충남,2005,70573
남,단체,군부대,전북,2005,24913
남,단체,군부대,광주·전남,2005,26154
남,단체,군부대,경남,2005,35320
남,단체,군부대,제주,2005,6387
남,단체,군부대,대한적십자사 외,2005,0
남,단체,종교,대한적십자사,2005,18438
남,단체,종교,서울중앙,2005,2035
남,단체,종교,서울서부,2005,2579
남,단체,종교,서울남부,2005,2191
남,단체,종교,서울동부,2005,2239
남,단체,종교,부산,2005,1139
남,단체,종교,대구·경북,2005,1051
남,단체,종교,인천,2005,886
남,단체,종교,울산,2005,316
남,단체,종교,경기,2005,1106
남,단체,종교,강원,2005,290
남,단체,종교,충북,2005,348
남,단체,종교,대전·세종·충남,2005,858
남,단체,종교,전북,2005,594
남,단체,종교,광주·전남,2005,1522
남,단체,종교,경남,2005,1040
남,단체,종교,제주,2005,244
남,단체,종교,대한적십자사 외,2005,0
남,단체,일반단체,대한적십자사,2005,207466
남,단체,일반단체,서울중앙,2005,12328
남,단체,일반단체,서울서부,2005,8079
남,단체,일반단체,서울남부,2005,10955
남,단체,일반단체,서울동부,2005,6993
남,단체,일반단체,부산,2005,24052
남,단체,일반단체,대구·경북,2005,22846
남,단체,일반단체,인천,2005,8263
남,단체,일반단체,울산,2005,14093
남,단체,일반단체,경기,2005,24237
남,단체,일반단체,강원,2005,3030
남,단체,일반단체,충북,2005,5737
남,단체,일반단체,대전·세종·충남,2005,12310
남,단체,일반단체,전북,2005,9615
남,단체,일반단체,광주·전남,2005,24739
남,단체,일반단체,경남,2005,13890
남,단체,일반단체,제주,2005,6299
남,단체,일반단체,대한적십자사 외,2005,0
남,개인,원내,대한적십자사,2005,27613
남,개인,원내,서울중앙,2005,1631
남,개인,원내,서울서부,2005,1408
남,개인,원내,서울남부,2005,1985
남,개인,원내,서울동부,2005,4347
남,개인,원내,부산,2005,739
남,개인,원내,대구·경북,2005,2022
남,개인,원내,인천,2005,2087
남,개인,원내,울산,2005,318
남,개인,원내,경기,2005,3195
남,개인,원내,강원,2005,898
남,개인,원내,충북,2005,374
남,개인,원내,대전·세종·충남,2005,1698
남,개인,원내,전북,2005,555
남,개인,원내,광주·전남,2005,151
남,개인,원내,경남,2005,5774
남,개인,원내,제주,2005,431
남,개인,원내,대한적십자사 외,2005,42088
남,개인,헌혈의집,대한적십자사,2005,577214
남,개인,헌혈의집,서울중앙,2005,54658
남,개인,헌혈의집,서울서부,2005,50677
남,개인,헌혈의집,서울남부,2005,56056
남,개인,헌혈의집,서울동부,2005,44808
남,개인,헌혈의집,부산,2005,72952
남,개인,헌혈의집,대구·경북,2005,45027
남,개인,헌혈의집,인천,2005,30921
남,개인,헌혈의집,울산,2005,22798
남,개인,헌혈의집,경기,2005,37041
남,개인,헌혈의집,강원,2005,11263
남,개인,헌혈의집,충북,2005,24458
남,개인,헌혈의집,대전·세종·충남,2005,21988
남,개인,헌혈의집,전북,2005,36746
남,개인,헌혈의집,광주·전남,2005,51240
남,개인,헌혈의집,경남,2005,10852
남,개인,헌혈의집,제주,2005,5729
남,개인,헌혈의집,대한적십자사 외,2005,0
남,개인,가두,대한적십자사,2005,108477
남,개인,가두,서울중앙,2005,11263
남,개인,가두,서울서부,2005,11947
남,개인,가두,서울남부,2005,14137
남,개인,가두,서울동부,2005,10587
남,개인,가두,부산,2005,9616
남,개인,가두,대구·경북,2005,7485
남,개인,가두,인천,2005,7785
남,개인,가두,울산,2005,4334
남,개인,가두,경기,2005,11441
남,개인,가두,강원,2005,119
남,개인,가두,충북,2005,194
남,개인,가두,대전·세종·충남,2005,8915
남,개인,가두,전북,2005,889
남,개인,가두,광주·전남,2005,621
남,개인,가두,경남,2005,7775
남,개인,가두,제주,2005,1369
남,개인,가두,대한적십자사 외,2005,0
여,단체,고등학교,대한적십자사,2005,78073
여,단체,고등학교,서울중앙,2005,6052
여,단체,고등학교,서울서부,2005,3914
여,단체,고등학교,서울남부,2005,2867
여,단체,고등학교,서울동부,2005,6357
여,단체,고등학교,부산,2005,4398
여,단체,고등학교,대구·경북,2005,9192
여,단체,고등학교,인천,2005,10299
여,단체,고등학교,울산,2005,2666
여,단체,고등학교,경기,2005,1839
여,단체,고등학교,강원,2005,1030
여,단체,고등학교,충북,2005,3807
여,단체,고등학교,대전·세종·충남,2005,3700
여,단체,고등학교,전북,2005,6624
여,단체,고등학교,광주·전남,2005,11794
여,단체,고등학교,경남,2005,2248
여,단체,고등학교,제주,2005,1286
여,단체,고등학교,대한적십자사 외,2005,0
여,단체,대학교,대한적십자사,2005,25677
여,단체,대학교,서울중앙,2005,2909
여,단체,대학교,서울서부,2005,278
여,단체,대학교,서울남부,2005,1117
여,단체,대학교,서울동부,2005,2377
여,단체,대학교,부산,2005,1355
여,단체,대학교,대구·경북,2005,3537
여,단체,대학교,인천,2005,402
여,단체,대학교,울산,2005,320
여,단체,대학교,경기,2005,1435
여,단체,대학교,강원,2005,381
여,단체,대학교,충북,2005,2239
여,단체,대학교,대전·세종·충남,2005,2119
여,단체,대학교,전북,2005,2293
여,단체,대학교,광주·전남,2005,2958
여,단체,대학교,경남,2005,1179
여,단체,대학교,제주,2005,778
여,단체,대학교,대한적십자사 외,2005,0
여,단체,군부대,대한적십자사,2005,759
여,단체,군부대,서울중앙,2005,123
여,단체,군부대,서울서부,2005,31
여,단체,군부대,서울남부,2005,121
여,단체,군부대,서울동부,2005,64
여,단체,군부대,부산,2005,22
여,단체,군부대,대구·경북,2005,59
여,단체,군부대,인천,2005,36
여,단체,군부대,울산,2005,0
여,단체,군부대,경기,2005,39
여,단체,군부대,강원,2005,47
여,단체,군부대,충북,2005,15
여,단체,군부대,대전·세종·충남,2005,75
여,단체,군부대,전북,2005,19
여,단체,군부대,광주·전남,2005,51
여,단체,군부대,경남,2005,51
여,단체,군부대,제주,2005,6
여,단체,군부대,대한적십자사 외,2005,0
여,단체,종교,대한적십자사,2005,7396
여,단체,종교,서울중앙,2005,1030
여,단체,종교,서울서부,2005,659
여,단체,종교,서울남부,2005,932
여,단체,종교,서울동부,2005,1158
여,단체,종교,부산,2005,361
여,단체,종교,대구·경북,2005,506
여,단체,종교,인천,2005,526
여,단체,종교,울산,2005,155
여,단체,종교,경기,2005,185
여,단체,종교,강원,2005,133
여,단체,종교,충북,2005,103
여,단체,종교,대전·세종·충남,2005,219
여,단체,종교,전북,2005,230
여,단체,종교,광주·전남,2005,838
여,단체,종교,경남,2005,267
여,단체,종교,제주,2005,94
여,단체,종교,대한적십자사 외,2005,0
여,단체,일반단체,대한적십자사,2005,21340
여,단체,일반단체,서울중앙,2005,2728
여,단체,일반단체,서울서부,2005,990
여,단체,일반단체,서울남부,2005,2161
여,단체,일반단체,서울동부,2005,1293
여,단체,일반단체,부산,2005,1139
여,단체,일반단체,대구·경북,2005,2731
여,단체,일반단체,인천,2005,1647
여,단체,일반단체,울산,2005,686
여,단체,일반단체,경기,2005,1266
여,단체,일반단체,강원,2005,375
여,단체,일반단체,충북,2005,554
여,단체,일반단체,대전·세종·충남,2005,1064
여,단체,일반단체,전북,2005,550
여,단체,일반단체,광주·전남,2005,2741
여,단체,일반단체,경남,2005,932
여,단체,일반단체,제주,2005,483
여,단체,일반단체,대한적십자사 외,2005,0
여,개인,원내,대한적십자사,2005,5467
여,개인,원내,서울중앙,2005,496
여,개인,원내,서울서부,2005,119
여,개인,원내,서울남부,2005,261
여,개인,원내,서울동부,2005,1466
여,개인,원내,부산,2005,59
여,개인,원내,대구·경북,2005,233
여,개인,원내,인천,2005,1382
여,개인,원내,울산,2005,38
여,개인,원내,경기,2005,229
여,개인,원내,강원,2005,94
여,개인,원내,충북,2005,18
여,개인,원내,대전·세종·충남,2005,200
여,개인,원내,전북,2005,52
여,개인,원내,광주·전남,2005,25
여,개인,원내,경남,2005,773
여,개인,원내,제주,2005,22
여,개인,원내,대한적십자사 외,2005,8612
여,개인,헌혈의집,대한적십자사,2005,257859
여,개인,헌혈의집,서울중앙,2005,21815
여,개인,헌혈의집,서울서부,2005,11500
여,개인,헌혈의집,서울남부,2005,18833
여,개인,헌혈의집,서울동부,2005,21390
여,개인,헌혈의집,부산,2005,39833
여,개인,헌혈의집,대구·경북,2005,27499
여,개인,헌혈의집,인천,2005,20147
여,개인,헌혈의집,울산,2005,11290
여,개인,헌혈의집,경기,2005,12819
여,개인,헌혈의집,강원,2005,5496
여,개인,헌혈의집,충북,2005,9791
여,개인,헌혈의집,대전·세종·충남,2005,10867
여,개인,헌혈의집,전북,2005,15397
여,개인,헌혈의집,광주·전남,2005,23489
여,개인,헌혈의집,경남,2005,4420
여,개인,헌혈의집,제주,2005,3273
여,개인,헌혈의집,대한적십자사 외,2005,0
여,개인,가두,대한적십자사,2005,37540
여,개인,가두,서울중앙,2005,5629
여,개인,가두,서울서부,2005,2231
여,개인,가두,서울남부,2005,4599
여,개인,가두,서울동부,2005,2750
여,개인,가두,부산,2005,2923
여,개인,가두,대구·경북,2005,3692
여,개인,가두,인천,2005,4320
여,개인,가두,울산,2005,1767
여,개인,가두,경기,2005,3134
여,개인,가두,강원,2005,58
여,개인,가두,충북,2005,72
여,개인,가두,대전·세종·충남,2005,2438
여,개인,가두,전북,2005,291
여,개인,가두,광주·전남,2005,404
여,개인,가두,경남,2005,2468
여,개인,가두,제주,2005,764
여,개인,가두,대한적십자사 외,2005,0
남,단체,고등학교,대한적십자사,2006,236004
남,단체,고등학교,서울중앙,2006,13637
남,단체,고등학교,서울서부,2006,13332
남,단체,고등학교,서울남부,2006,9974
남,단체,고등학교,서울동부,2006,18391
남,단체,고등학교,부산,2006,19987
남,단체,고등학교,대구·경북,2006,24662
남,단체,고등학교,인천,2006,18567
남,단체,고등학교,울산,2006,8872
남,단체,고등학교,경기,2006,22093
남,단체,고등학교,강원,2006,3439
남,단체,고등학교,충북,2006,9821
남,단체,고등학교,대전·세종·충남,2006,22054
남,단체,고등학교,전북,2006,16101
남,단체,고등학교,광주·전남,2006,20422
남,단체,고등학교,경남,2006,10432
남,단체,고등학교,제주,2006,4220
남,단체,고등학교,대한적십자사 외,2006,0
남,단체,대학교,대한적십자사,2006,83475
남,단체,대학교,서울중앙,2006,5504
남,단체,대학교,서울서부,2006,1406
남,단체,대학교,서울남부,2006,5734
남,단체,대학교,서울동부,2006,7613
남,단체,대학교,부산,2006,7372
남,단체,대학교,대구·경북,2006,9761
남,단체,대학교,인천,2006,1216
남,단체,대학교,울산,2006,781
남,단체,대학교,경기,2006,6299
남,단체,대학교,강원,2006,1492
남,단체,대학교,충북,2006,6848
남,단체,대학교,대전·세종·충남,2006,9617
남,단체,대학교,전북,2006,6931
남,단체,대학교,광주·전남,2006,6166
남,단체,대학교,경남,2006,5592
남,단체,대학교,제주,2006,1143
남,단체,대학교,대한적십자사 외,2006,0
남,단체,군부대,대한적십자사,2006,429164
남,단체,군부대,서울중앙,2006,60848
남,단체,군부대,서울서부,2006,19257
남,단체,군부대,서울남부,2006,33884
남,단체,군부대,서울동부,2006,42849
남,단체,군부대,부산,2006,28490
남,단체,군부대,대구·경북,2006,29094
남,단체,군부대,인천,2006,18182
남,단체,군부대,울산,2006,9550
남,단체,군부대,경기,2006,15699
남,단체,군부대,강원,2006,46936
남,단체,군부대,충북,2006,12357
남,단체,군부대,대전·세종·충남,2006,34687
남,단체,군부대,전북,2006,18943
남,단체,군부대,광주·전남,2006,24117
남,단체,군부대,경남,2006,28562
남,단체,군부대,제주,2006,5709
남,단체,군부대,대한적십자사 외,2006,0
남,단체,종교,대한적십자사,2006,12219
남,단체,종교,서울중앙,2006,1223
남,단체,종교,서울서부,2006,1779
남,단체,종교,서울남부,2006,1469
남,단체,종교,서울동부,2006,2224
남,단체,종교,부산,2006,1119
남,단체,종교,대구·경북,2006,57
남,단체,종교,인천,2006,359
남,단체,종교,울산,2006,388
남,단체,종교,경기,2006,326
남,단체,종교,강원,2006,149
남,단체,종교,충북,2006,455
남,단체,종교,대전·세종·충남,2006,1185
남,단체,종교,전북,2006,308
남,단체,종교,광주·전남,2006,797
남,단체,종교,경남,2006,130
남,단체,종교,제주,2006,251
남,단체,종교,대한적십자사 외,2006,0
남,단체,일반단체,대한적십자사,2006,160024
남,단체,일반단체,서울중앙,2006,10819
남,단체,일반단체,서울서부,2006,7533
남,단체,일반단체,서울남부,2006,9090
남,단체,일반단체,서울동부,2006,8156
남,단체,일반단체,부산,2006,14968
남,단체,일반단체,대구·경북,2006,16133
남,단체,일반단체,인천,2006,6616
남,단체,일반단체,울산,2006,11294
남,단체,일반단체,경기,2006,17129
