region,gender,year,method,count
서울중앙,남,2005.0,whole 320mL,21000.0
서울중앙,여,2005.0,whole 320mL,30891.0
서울서부,남,2005.0,whole 320mL,12392.0
서울서부,여,2005.0,whole 320mL,13068.0
서울남부,남,2005.0,whole 320mL,13279.0
서울남부,여,2005.0,whole 320mL,18507.0
서울동부,남,2005.0,whole 320mL,21612.0
서울동부,여,2005.0,whole 320mL,28919.0
부산,남,2005.0,whole 320mL,20742.0
부산,여,2005.0,whole 320mL,27664.0
대구·경북,남,2005.0,whole 320mL,27078.0
대구·경북,여,2005.0,whole 320mL,31459.0
인천,남,2005.0,whole 320mL,17121.0
인천,여,2005.0,whole 320mL,32924.0
울산,남,2005.0,whole 320mL,9049.0
울산,여,2005.0,whole 320mL,6629.0
경기,남,2005.0,whole 320mL,15932.0
경기,여,2005.0,whole 320mL,17896.0
강원,남,2005.0,whole 320mL,4532.0
강원,여,2005.0,whole 320mL,4073.0
충북,남,2005.0,whole 320mL,5956.0
충북,여,2005.0,whole 320mL,5359.0
대전·세종·충남,남,2005.0,whole 320mL,13943.0
대전·세종·충남,여,2005.0,whole 320mL,9635.0
전북,남,2005.0,whole 320mL,12541.0
전북,여,2005.0,whole 320mL,10809.0
광주·전남,남,2005.0,whole 320mL,28678.0
광주·전남,여,2005.0,whole 320mL,23055.0
경남,남,2005.0,whole 320mL,13670.0
경남,여,2005.0,whole 320mL,8178.0
제주,남,2005.0,whole 320mL,3401.0
제주,여,2005.0,whole 320mL,3783.0
대한적십자사 외,남,2005.0,whole 320mL,3957.0
대한적십자사 외,여,2005.0,whole 320mL,5322.0
서울중앙,남,2006.0,whole 320mL,23670.0
서울중앙,여,2006.0,whole 320mL,32939.0
서울서부,남,2006.0,whole 320mL,14822.0
서울서부,여,2006.0,whole 320mL,16259.0
서울남부,남,2006.0,whole 320mL,13618.0
서울남부,여,2006.0,whole 320mL,23041.0
서울동부,남,2006.0,whole 320mL,21857.0
서울동부,여,2006.0,whole 320mL,39365.0
부산,남,2006.0,whole 320mL,20699.0
부산,여,2006.0,whole 320mL,31024.0
대구·경북,남,2006.0,whole 320mL,25504.0
대구·경북,여,2006.0,whole 320mL,32185.0
인천,남,2006.0,whole 320mL,15054.0
인천,여,2006.0,whole 320mL,27898.0
울산,남,2006.0,whole 320mL,8382.0
울산,여,2006.0,whole 320mL,6745.0
경기,남,2006.0,whole 320mL,19219.0
경기,여,2006.0,whole 320mL,23124.0
강원,남,2006.0,whole 320mL,3038.0
강원,여,2006.0,whole 320mL,4104.0
충북,남,2006.0,whole 320mL,5831.0
충북,여,2006.0,whole 320mL,5065.0
대전·세종·충남,남,2006.0,whole 320mL,15864.0
대전·세종·충남,여,2006.0,whole 320mL,17881.0
전북,남,2006.0,whole 320mL,11976.0
전북,여,2006.0,whole 320mL,12308.0
광주·전남,남,2006.0,whole 320mL,25412.0
광주·전남,여,2006.0,whole 320mL,29407.0
경남,남,2006.0,whole 320mL,14425.0
경남,여,2006.0,whole 320mL,10663.0
제주,남,2006.0,whole 320mL,3489.0
제주,여,2006.0,whole 320mL,4049.0
대한적십자사 외,남,2006.0,whole 320mL,5511.0
대한적십자사 외,여,2006.0,whole 320mL,5957.0
서울중앙,남,2007.0,whole 320mL,17849.0
서울중앙,여,2007.0,whole 320mL,41732.0
서울서부,남,2007.0,whole 320mL,13914.0
서울서부,여,2007.0,whole 320mL,28303.0
서울남부,남,2007.0,whole 320mL,12486.0
서울남부,여,2007.0,whole 320mL,25419.0
서울동부,남,2007.0,whole 320mL,23206.0
서울동부,여,2007.0,whole 320mL,51228.0
부산,남,2007.0,whole 320mL,17962.0
부산,여,2007.0,whole 320mL,31828.0
대구·경북,남,2007.0,whole 320mL,19897.0
대구·경북,여,2007.0,whole 320mL,35951.0
인천,남,2007.0,whole 320mL,12249.0
인천,여,2007.0,whole 320mL,23738.0
울산,남,2007.0,whole 320mL,7799.0
울산,여,2007.0,whole 320mL,9872.0
경기,남,2007.0,whole 320mL,15757.0
경기,여,2007.0,whole 320mL,22055.0
강원,남,2007.0,whole 320mL,3294.0
강원,여,2007.0,whole 320mL,6108.0
충북,남,2007.0,whole 320mL,6267.0
충북,여,2007.0,whole 320mL,7104.0
대전·세종·충남,남,2007.0,whole 320mL,16091.0
대전·세종·충남,여,2007.0,whole 320mL,26861.0
전북,남,2007.0,whole 320mL,10462.0
전북,여,2007.0,whole 320mL,16459.0
광주·전남,남,2007.0,whole 320mL,21698.0
광주·전남,여,2007.0,whole 320mL,40153.0
경남,남,2007.0,whole 320mL,12249.0
경남,여,2007.0,whole 320mL,15694.0
제주,남,2007.0,whole 320mL,3626.0
제주,여,2007.0,whole 320mL,5326.0
대한적십자사 외,남,2007.0,whole 320mL,7865.0
대한적십자사 외,여,2007.0,whole 320mL,10213.0
서울중앙,남,2008.0,whole 320mL,17697.0
서울중앙,여,2008.0,whole 320mL,49725.0
서울서부,남,2008.0,whole 320mL,15318.0
서울서부,여,2008.0,whole 320mL,30887.0
서울남부,남,2008.0,whole 320mL,12110.0
서울남부,여,2008.0,whole 320mL,30570.0
서울동부,남,2008.0,whole 320mL,25944.0
서울동부,여,2008.0,whole 320mL,59617.0
부산,남,2008.0,whole 320mL,21000.0
부산,여,2008.0,whole 320mL,37820.0
대구·경북,남,2008.0,whole 320mL,23729.0
대구·경북,여,2008.0,whole 320mL,49779.0
인천,남,2008.0,whole 320mL,12803.0
인천,여,2008.0,whole 320mL,27104.0
울산,남,2008.0,whole 320mL,9124.0
울산,여,2008.0,whole 320mL,9849.0
경기,남,2008.0,whole 320mL,17920.0
경기,여,2008.0,whole 320mL,25632.0
강원,남,2008.0,whole 320mL,3760.0
강원,여,2008.0,whole 320mL,7930.0
충북,남,2008.0,whole 320mL,8146.0
충북,여,2008.0,whole 320mL,8629.0
대전·세종·충남,남,2008.0,whole 320mL,17526.0
대전·세종·충남,여,2008.0,whole 320mL,30227.0
전북,남,2008.0,whole 320mL,11549.0
전북,여,2008.0,whole 320mL,17070.0
광주·전남,남,2008.0,whole 320mL,24185.0
광주·전남,여,2008.0,whole 320mL,43759.0
경남,남,2008.0,whole 320mL,15738.0
경남,여,2008.0,whole 320mL,15671.0
제주,남,2008.0,whole 320mL,3461.0
제주,여,2008.0,whole 320mL,6076.0
대한적십자사 외,남,2008.0,whole 320mL,8418.0
대한적십자사 외,여,2008.0,whole 320mL,14565.0
서울중앙,남,2009.0,whole 320mL,18663.0
서울중앙,여,2009.0,whole 320mL,47291.0
서울서부,남,2009.0,whole 320mL,15068.0
서울서부,여,2009.0,whole 320mL,36004.0
서울남부,남,2009.0,whole 320mL,12189.0
서울남부,여,2009.0,whole 320mL,38960.0
서울동부,남,2009.0,whole 320mL,26984.0
서울동부,여,2009.0,whole 320mL,63176.0
부산,남,2009.0,whole 320mL,17831.0
부산,여,2009.0,whole 320mL,38938.0
대구·경북,남,2009.0,whole 320mL,23896.0
대구·경북,여,2009.0,whole 320mL,57475.0
인천,남,2009.0,whole 320mL,11139.0
인천,여,2009.0,whole 320mL,30755.0
울산,남,2009.0,whole 320mL,9648.0
울산,여,2009.0,whole 320mL,12026.0
경기,남,2009.0,whole 320mL,19215.0
경기,여,2009.0,whole 320mL,35748.0
강원,남,2009.0,whole 320mL,3868.0
강원,여,2009.0,whole 320mL,10450.0
충북,남,2009.0,whole 320mL,8603.0
충북,여,2009.0,whole 320mL,8994.0
대전·세종·충남,남,2009.0,whole 320mL,13902.0
대전·세종·충남,여,2009.0,whole 320mL,28627.0
전북,남,2009.0,whole 320mL,12013.0
전북,여,2009.0,whole 320mL,18790.0
광주·전남,남,2009.0,whole 320mL,24224.0
광주·전남,여,2009.0,whole 320mL,43455.0
경남,남,2009.0,whole 320mL,16302.0
경남,여,2009.0,whole 320mL,18508.0
제주,남,2009.0,whole 320mL,3000.0
제주,여,2009.0,whole 320mL,7374.0
대한적십자사 외,남,2009.0,whole 320mL,6977.0
대한적십자사 외,여,2009.0,whole 320mL,17775.0
서울중앙,남,2010.0,whole 320mL,26122.0
서울중앙,여,2010.0,whole 320mL,60584.0
서울서부,남,2010.0,whole 320mL,7208.0
서울서부,여,2010.0,whole 320mL,18342.0
서울남부,남,2010.0,whole 320mL,15583.0
서울남부,여,2010.0,whole 320mL,44402.0
서울동부,남,2010.0,whole 320mL,31279.0
서울동부,여,2010.0,whole 320mL,74280.0
부산,남,2010.0,whole 320mL,22466.0
부산,여,2010.0,whole 320mL,48551.0
대구·경북,남,2010.0,whole 320mL,25670.0
대구·경북,여,2010.0,whole 320mL,61154.0
인천,남,2010.0,whole 320mL,15750.0
인천,여,2010.0,whole 320mL,38581.0
울산,남,2010.0,whole 320mL,10735.0
울산,여,2010.0,whole 320mL,16340.0
경기,남,2010.0,whole 320mL,22419.0
경기,여,2010.0,whole 320mL,41397.0
강원,남,2010.0,whole 320mL,6852.0
강원,여,2010.0,whole 320mL,12891.0
충북,남,2010.0,whole 320mL,7841.0
충북,여,2010.0,whole 320mL,7597.0
대전·세종·충남,남,2010.0,whole 320mL,18468.0
대전·세종·충남,여,2010.0,whole 320mL,25935.0
전북,남,2010.0,whole 320mL,13310.0
전북,여,2010.0,whole 320mL,18480.0
광주·전남,남,2010.0,whole 320mL,24550.0
광주·전남,여,2010.0,whole 320mL,49202.0
경남,남,2010.0,whole 320mL,18645.0
경남,여,2010.0,whole 320mL,20627.0
제주,남,2010.0,whole 320mL,3499.0
제주,여,2010.0,whole 320mL,9379.0
대한적십자사 외,남,2010.0,whole 320mL,10370.0
대한적십자사 외,여,2010.0,whole 320mL,32244.0
서울중앙,남,2011.0,whole 320mL,0.0
서울중앙,여,2011.0,whole 320mL,0.0
서울서부,남,2011.0,whole 320mL,22313.0
서울서부,여,2011.0,whole 320mL,67859.0
서울남부,남,2011.0,whole 320mL,15887.0
서울남부,여,2011.0,whole 320mL,45248.0
서울동부,남,2011.0,whole 320mL,25562.0
서울동부,여,2011.0,whole 320mL,71069.0
부산,남,2011.0,whole 320mL,20654.0
부산,여,2011.0,whole 320mL,52381.0
대구·경북,남,2011.0,whole 320mL,25134.0
대구·경북,여,2011.0,whole 320mL,64226.0
인천,남,2011.0,whole 320mL,19743.0
인천,여,2011.0,whole 320mL,45281.0
울산,남,2011.0,whole 320mL,10305.0
울산,여,2011.0,whole 320mL,17556.0
경기,남,2011.0,whole 320mL,24013.0
경기,여,2011.0,whole 320mL,42512.0
강원,남,2011.0,whole 320mL,7724.0
강원,여,2011.0,whole 320mL,16111.0
충북,남,2011.0,whole 320mL,7565.0
충북,여,2011.0,whole 320mL,8549.0
대전·세종·충남,남,2011.0,whole 320mL,20094.0
대전·세종·충남,여,2011.0,whole 320mL,31946.0
전북,남,2011.0,whole 320mL,12361.0
전북,여,2011.0,whole 320mL,25772.0
광주·전남,남,2011.0,whole 320mL,23322.0
광주·전남,여,2011.0,whole 320mL,54307.0
경남,남,2011.0,whole 320mL,19835.0
경남,여,2011.0,whole 320mL,20394.0
제주,남,2011.0,whole 320mL,3816.0
제주,여,2011.0,whole 320mL,10135.0
대한적십자사 외,남,2011.0,whole 320mL,12218.0
대한적십자사 외,여,2011.0,whole 320mL,39102.0
서울중앙,남,2012.0,whole 320mL,0.0
서울중앙,여,2012.0,whole 320mL,0.0
서울서부,남,2012.0,whole 320mL,21352.0
서울서부,여,2012.0,whole 320mL,64633.0
서울남부,남,2012.0,whole 320mL,16049.0
서울남부,여,2012.0,whole 320mL,50704.0
서울동부,남,2012.0,whole 320mL,25150.0
서울동부,여,2012.0,whole 320mL,75712.0
부산,남,2012.0,whole 320mL,19576.0
부산,여,2012.0,whole 320mL,51555.0
대구·경북,남,2012.0,whole 320mL,25076.0
대구·경북,여,2012.0,whole 320mL,66363.0
인천,남,2012.0,whole 320mL,17845.0
인천,여,2012.0,whole 320mL,45996.0
울산,남,2012.0,whole 320mL,11956.0
울산,여,2012.0,whole 320mL,19057.0
경기,남,2012.0,whole 320mL,21557.0
경기,여,2012.0,whole 320mL,40530.0
강원,남,2012.0,whole 320mL,6058.0
강원,여,2012.0,whole 320mL,14370.0
충북,남,2012.0,whole 320mL,9983.0
충북,여,2012.0,whole 320mL,11679.0
